graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
unweighted1.edgelist,unweighted,original,0.2,9,14,,1.0,True,True,inf,inf,1.0,inf,inf,inf,12.0,12.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,,0.4444444444444444,0.5555555555555556,,,,,0.4444444444444444,0.5555555555555556,,,,,0.001910136999867973
unweighted1.edgelist,unweighted,kols,0.2,9,14,8,0.5714285714285714,True,True,inf,inf,1.0,inf,inf,inf,12.0,7.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,0.2222222222222222,0.6666666666666666,0.1111111111111111,,,,0.0003839470000457368,0.001423130999910427
unweighted1.edgelist,unweighted,random,0.2,9,14,12,0.8571428571428571,True,True,inf,inf,1.0,inf,inf,inf,12.0,10.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,0.1111111111111111,0.4444444444444444,0.4444444444444444,,,,0.0001306289998410648,0.0016187809999337333
unweighted1.edgelist,unweighted,k_neighbor,0.2,9,14,8,0.5714285714285714,True,True,inf,5.0,0.0,inf,inf,inf,12.0,6.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.3333333333333333,0.2222222222222222,,,,,,,,,,,,,,,0.0004485010001644696,0.0014996299998983886
unweighted1.edgelist,unweighted,local_degree,0.2,9,14,9,0.6428571428571429,True,True,inf,inf,1.0,inf,inf,inf,12.0,8.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,1.0,,,,,0.0001948999999967782,0.0025222660001418262
unweighted1.edgelist,unweighted,mst,0.2,9,14,8,0.5714285714285714,True,True,inf,4.0,0.0,inf,inf,inf,12.0,9.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,,,,,,,,,,,,,,0.0005488340000283642,0.0025060980001399003
unweighted1.edgelist,unweighted,t_spanner,0.2,9,14,22,1.5714285714285714,True,True,inf,inf,1.0,inf,inf,inf,12.0,11.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111,,,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111,,0.0020976759999484784,0.0024934600000960927
unweighted2.edgelist,unweighted,original,0.2,10,20,,1.0,True,True,inf,inf,1.0,inf,inf,inf,54.0,54.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,,0.2,0.6,0.2,,,0.3,,0.2,0.4,0.1,,,0.0017633410000144067
unweighted2.edgelist,unweighted,kols,0.2,10,20,9,0.45,True,True,inf,inf,1.0,inf,inf,inf,54.0,32.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,0.1,0.9,,,,,0.5,0.2,0.2,0.1,,,0.0003865529999984574,0.001265727000145489
unweighted2.edgelist,unweighted,random,0.2,10,20,17,0.85,True,False,inf,inf,1.0,inf,inf,inf,54.0,32.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,0.1,0.3,0.4,0.2,,,0.3,0.1,0.3,0.2,0.1,,0.00011544799986040744,0.0014052260000880779
